semester,crn,full_number,number,title,seats_available,seats_total,location,day_of_week,start,end
Spring%202016,24985,COLT1410N-S01,COLT1410N,Found in Translation: The Adaptation of Literature to Film in Japan,983,999,Barus & Holley 163,T,52200,57000
Spring%202016,26821,COLT1421T-S01,COLT1421T,"Mediterranean Fictions: On Debts, Crises, and the Ends of Europe",13,20,111 Thayer St-Watson Institute 116,T,57600,66600
Spring%202016,24223,COLT1430D-S01,COLT1430D,Critical Approaches to Chinese Poetry,988,999,Wilson Hall 206,T,46800,51600
Spring%202016,24224,COLT1430H-S01,COLT1430H,"Poetry, Art, and Beauty",996,999,111 Thayer St-Watson Institute 116,M,32400,35400
Spring%202016,24816,COLT1431A-S01,COLT1431A,The Philosophical Art of Shakespeare's Sonnets,3,20,111 Thayer St-Watson Institute 138,R,57600,66600
Spring%202016,26185,COLT1610R-S01,COLT1610R,Visions of Liberation: African Decolonization Now?,27,30,Wilson Hall 105,T,32400,37200
Spring%202016,25238,COLT1810G-S01,COLT1810G,Fiction and History,4,25,Wilson Hall 303,W,54000,63000
Spring%202016,25768,COLT1813O-S01,COLT1813O,Adventures of the Avant-Garde,-1,25,Smith-Buonanno Hall 206,M,43200,46200
Spring%202016,26177,COLT1812A-S01,COLT1812A,Literatures of Immigration,7,20,Marston Hall 209,T,37800,42600
Spring%202016,25233,COLT1810N-S01,COLT1810N,Freud: Writer and Reader,-10,25,Pembroke Hall 202,M,54000,63000
Spring%202016,26632,COLT1814M-S01,COLT1814M,Postcolonial Literature + Thought in the Middle East and North Africa,30,40,Marston Hall 209,M,54000,63000
Spring%202016,25871,COLT2720D-S01,COLT2720D,Translation: Theory and Practice,6,20,Marston Hall 209,T,46800,55800
Spring%202016,25578,COLT2820M-S01,COLT2820M,Discourses of the Senses,31,40,Marston Hall 209,W,54000,63000
Spring%202016,25665,PHP0310-S01,PHP0310,Health Care in the United States,536,999,Salomon Center DECI,M,43200,46200
Spring%202016,26161,PHP0030-S01,PHP0030,Health of Hispaniola,0,20,Alumnae Hall 212,T,67200,72000
Spring%202016,25666,PHP1100-S01,PHP1100,Comparative Health Care Systems,2,30,121 South Main Street 241,T,39600,44400
Spring%202016,26762,PHP1820-S01,PHP1820,Designing Education for Better Prisoner and Community Health,-1,24,121 South Main Street 331,T,57600,62400
Spring%202016,25740,PHP1910-S01,PHP1910,Public Health Senior Seminar,-4,40,Wilson Hall 309,M,54000,63000
Spring%202016,24845,PHP1680N-S01,PHP1680N,"Tobacco, Smoking, and the Evil Empire",24,40,121 South Main Street 259,T,46800,55200
Spring%202016,25721,PHP1500-S01,PHP1500,Global Health Nutrition  ,987,999,Smith-Buonanno Hall 101,T,52200,57000
