date,temperature,wind speed,rain,snow
"6:51 AM EDT on April 14, 2015",15.0,24.1,0,0
"7:51 AM EDT on April 14, 2015",15.0,14.8,0,0
"8:36 AM EDT on April 14, 2015",15.6,16.7,0,0
"8:51 AM EDT on April 14, 2015",15.0,14.8,1,0
"9:51 AM EDT on April 14, 2015",13.9,13.0,0,0
"10:51 AM EDT on April 14, 2015",15.0,13.0,0,0
"11:51 AM EDT on April 14, 2015",15.6,18.5,0,0
"12:51 PM EDT on April 14, 2015",16.7,13.0,0,0
"1:51 PM EDT on April 14, 2015",18.9,20.4,0,0
"2:51 PM EDT on April 14, 2015",19.4,11.1,0,0
"3:51 PM EDT on April 14, 2015",19.4,14.8,0,0
"4:51 PM EDT on April 14, 2015",18.3,9.3,0,0
"5:51 PM EDT on April 14, 2015",17.8,13.0,0,0
"6:51 PM EDT on April 14, 2015",13.3,7.4,0,0
"7:51 PM EDT on April 14, 2015",12.8,5.6,0,0
"8:51 PM EDT on April 14, 2015",12.2,5.6,0,0
"9:51 PM EDT on April 14, 2015",12.2,0.0,0,0
"10:51 PM EDT on April 14, 2015",11.1,7.4,0,0
"11:51 PM EDT on April 14, 2015",11.1,0.0,0,0
"12:51 AM EDT on April 15, 2015",10.6,0.0,0,0
"1:51 AM EDT on April 15, 2015",12.8,9.3,0,0
"2:51 AM EDT on April 15, 2015",11.7,9.3,0,0
"3:51 AM EDT on April 15, 2015",11.1,9.3,0,0
"4:51 AM EDT on April 15, 2015",10.6,13.0,0,0
"5:51 AM EDT on April 15, 2015",10.0,13.0,0,0
"6:51 AM EDT on April 15, 2015",10.0,16.7,0,0
"7:51 AM EDT on April 15, 2015",12.8,18.5,0,0
"8:51 AM EDT on April 15, 2015",15.0,24.1,0,0
"9:51 AM EDT on April 15, 2015",16.7,22.2,0,0
"10:51 AM EDT on April 15, 2015",17.8,22.2,0,0
"11:51 AM EDT on April 15, 2015",18.9,24.1,0,0
"12:51 PM EDT on April 15, 2015",18.9,24.1,0,0
"1:51 PM EDT on April 15, 2015",20.0,18.5,0,0
"2:51 PM EDT on April 15, 2015",20.6,20.4,0,0
"3:51 PM EDT on April 15, 2015",20.6,16.7,0,0
"4:51 PM EDT on April 15, 2015",20.6,22.2,0,0
"5:51 PM EDT on April 15, 2015",19.4,24.1,0,0
"6:51 PM EDT on April 15, 2015",17.2,27.8,0,0
"7:51 PM EDT on April 15, 2015",16.1,18.5,0,0
"8:51 PM EDT on April 15, 2015",15.0,11.1,0,0
"9:51 PM EDT on April 15, 2015",13.9,18.5,0,0
"10:51 PM EDT on April 15, 2015",12.2,18.5,0,0
"11:51 PM EDT on April 15, 2015",11.1,16.7,0,0
"12:51 AM EDT on April 16, 2015",10.0,14.8,0,0
"1:51 AM EDT on April 16, 2015",9.4,9.3,0,0
"2:51 AM EDT on April 16, 2015",7.8,0.0,0,0
"3:51 AM EDT on April 16, 2015",5.6,0.0,0,0
"4:51 AM EDT on April 16, 2015",5.0,0.0,0,0
"5:51 AM EDT on April 16, 2015",2.2,0.0,0,0
"6:51 AM EDT on April 16, 2015",3.9,0.0,0,0
"7:51 AM EDT on April 16, 2015",8.9,0.0,0,0
"8:51 AM EDT on April 16, 2015",10.6,9.3,0,0
"9:51 AM EDT on April 16, 2015",11.7,7.4,0,0
"10:51 AM EDT on April 16, 2015",12.2,5.6,0,0
"11:51 AM EDT on April 16, 2015",13.3,9.3,0,0
"12:51 PM EDT on April 16, 2015",13.9,18.5,0,0
"1:51 PM EDT on April 16, 2015",13.9,22.2,0,0
"2:51 PM EDT on April 16, 2015",13.3,25.9,0,0
"3:51 PM EDT on April 16, 2015",13.3,27.8,0,0
"4:51 PM EDT on April 16, 2015",11.7,27.8,0,0
"5:51 PM EDT on April 16, 2015",10.6,24.1,0,0
"6:51 PM EDT on April 16, 2015",9.4,18.5,0,0
"7:51 PM EDT on April 16, 2015",8.3,11.1,0,0
"8:51 PM EDT on April 16, 2015",7.8,14.8,0,0
"9:51 PM EDT on April 16, 2015",7.2,16.7,0,0
"10:51 PM EDT on April 16, 2015",6.7,11.1,0,0
"11:51 PM EDT on April 16, 2015",6.7,11.1,0,0
"12:51 AM EDT on April 17, 2015",6.7,9.3,0,0
"1:51 AM EDT on April 17, 2015",7.2,9.3,0,0
"2:51 AM EDT on April 17, 2015",7.8,7.4,0,0
"3:51 AM EDT on April 17, 2015",9.4,11.1,0,0
"4:51 AM EDT on April 17, 2015",10.0,11.1,0,0
"5:51 AM EDT on April 17, 2015",11.7,14.8,0,0
"6:51 AM EDT on April 17, 2015",10.0,11.1,1,0
"7:51 AM EDT on April 17, 2015",10.0,11.1,1,0
"8:51 AM EDT on April 17, 2015",11.7,18.5,1,0
"9:51 AM EDT on April 17, 2015",12.8,25.9,0,0
"10:51 AM EDT on April 17, 2015",13.3,20.4,0,0
"11:51 AM EDT on April 17, 2015",13.3,20.4,0,0
"12:51 PM EDT on April 17, 2015",13.9,22.2,0,0
"1:51 PM EDT on April 17, 2015",14.4,24.1,0,0
"2:49 PM EDT on April 17, 2015",16.0,18.5,0,0
"2:51 PM EDT on April 17, 2015",16.1,20.4,0,0
"3:51 PM EDT on April 17, 2015",16.7,16.7,0,0
"4:51 PM EDT on April 17, 2015",16.7,14.8,0,0
"5:51 PM EDT on April 17, 2015",17.2,13.0,0,0
"6:51 PM EDT on April 17, 2015",17.2,9.3,0,0
"7:51 PM EDT on April 17, 2015",13.9,5.6,0,0
"8:51 PM EDT on April 17, 2015",11.7,5.6,0,0
"9:51 PM EDT on April 17, 2015",11.1,7.4,0,0
"10:51 PM EDT on April 17, 2015",10.0,5.6,0,0
"11:43 PM EDT on April 17, 2015",9.4,5.6,0,0
"11:51 PM EDT on April 17, 2015",8.9,0.0,0,0
"12:51 AM EDT on April 18, 2015",11.7,7.4,0,0
"1:51 AM EDT on April 18, 2015",12.2,11.1,0,0
"2:51 AM EDT on April 18, 2015",12.2,7.4,0,0
"3:51 AM EDT on April 18, 2015",9.4,0.0,0,0
"4:51 AM EDT on April 18, 2015",8.9,0.0,0,0
"5:51 AM EDT on April 18, 2015",9.4,7.4,0,0
"6:51 AM EDT on April 18, 2015",10.0,5.6,0,0
"7:51 AM EDT on April 18, 2015",12.2,0.0,0,0
"8:51 AM EDT on April 18, 2015",14.4,0.0,0,0
"9:51 AM EDT on April 18, 2015",18.3,0.0,0,0
"10:51 AM EDT on April 18, 2015",20.6,13.0,0,0
"11:51 AM EDT on April 18, 2015",22.2,11.1,0,0
"12:51 PM EDT on April 18, 2015",22.8,7.4,0,0
"1:18 PM EDT on April 18, 2015",20.0,29.6,0,0
"1:51 PM EDT on April 18, 2015",20.0,24.1,0,0
"2:51 PM EDT on April 18, 2015",21.7,20.4,0,0
"3:51 PM EDT on April 18, 2015",23.9,27.8,0,0
"4:51 PM EDT on April 18, 2015",23.3,22.2,0,0
"5:51 PM EDT on April 18, 2015",22.2,27.8,0,0
"6:51 PM EDT on April 18, 2015",21.1,24.1,0,0
"7:42 PM EDT on April 18, 2015",16.7,31.5,0,0
"7:51 PM EDT on April 18, 2015",15.6,29.6,0,0
"7:58 PM EDT on April 18, 2015",15.6,29.6,0,0
"8:51 PM EDT on April 18, 2015",12.2,14.8,0,0
"9:51 PM EDT on April 18, 2015",10.6,9.3,0,0
"10:51 PM EDT on April 18, 2015",10.0,11.1,0,0
"11:51 PM EDT on April 18, 2015",9.4,14.8,0,0
"12:51 AM EDT on April 19, 2015",8.3,13.0,0,0
"1:51 AM EDT on April 19, 2015",7.2,11.1,0,0
"2:51 AM EDT on April 19, 2015",7.8,14.8,0,0
"3:51 AM EDT on April 19, 2015",8.3,18.5,0,0
"4:51 AM EDT on April 19, 2015",8.3,22.2,0,0
"5:51 AM EDT on April 19, 2015",7.8,22.2,0,0
"6:51 AM EDT on April 19, 2015",7.8,20.4,0,0
"7:51 AM EDT on April 19, 2015",8.9,24.1,0,0
"8:51 AM EDT on April 19, 2015",10.6,20.4,0,0
"9:51 AM EDT on April 19, 2015",11.1,16.7,0,0
"10:51 AM EDT on April 19, 2015",11.1,7.4,0,0
"11:51 AM EDT on April 19, 2015",12.8,5.6,0,0
"12:51 PM EDT on April 19, 2015",13.3,-9999.0,0,0
"1:51 PM EDT on April 19, 2015",13.3,11.1,0,0
"2:51 PM EDT on April 19, 2015",13.9,11.1,0,0
