date,temperature,wind speed,rain,snow
4:17 PM April 20 2015,10.6,20.4,1,0
4:51 PM April 20 2015,11.7,27.8,1,0
5:44 PM April 20 2015,12.2,24.1,1,0
5:51 PM April 20 2015,12.2,35.2,1,0
6:51 PM April 20 2015,12.2,38.9,1,0
6:58 PM April 20 2015,12.2,44.4,1,0
7:28 PM April 20 2015,11.7,27.8,1,0
7:41 PM April 20 2015,12.2,38.9,1,0
7:51 PM April 20 2015,12.2,31.5,1,0
8:15 AM April 21 2015,12.2,14.8,1,0
8:51 AM April 21 2015,13.9,11.1,0,0
9:51 AM April 21 2015,16.7,14.8,0,0
10:51 AM April 21 2015,19.4,14.8,0,0
11:51 AM April 21 2015,19.4,33.3,0,0
12:51 PM April 21 2015,20.0,27.8,0,0
1:51 PM April 21 2015,20.0,20.4,0,0
2:51 PM April 21 2015,18.3,24.1,0,0
3:51 PM April 21 2015,18.3,25.9,0,0
4:51 PM April 21 2015,18.3,16.7,0,0
5:51 PM April 21 2015,18.3,18.5,0,0
6:51 PM April 21 2015,17.2,14.8,0,0
7:51 PM April 21 2015,15.6,9.3,0,0
8:51 AM April 22 2015,13.9,9.3,0,0
9:51 AM April 22 2015,16.1,18.5,0,0
10:51 AM April 22 2015,16.1,18.5,0,0
11:51 AM April 22 2015,17.8,20.4,0,0
12:51 PM April 22 2015,18.9,24.1,0,0
1:51 PM April 22 2015,16.7,35.2,0,0
2:51 PM April 22 2015,16.1,27.8,0,0
3:51 PM April 22 2015,15.6,25.9,0,0
4:51 PM April 22 2015,14.4,22.2,0,0
5:51 PM April 22 2015,13.3,20.4,0,0
6:27 PM April 22 2015,14.4,35.2,1,0
6:51 PM April 22 2015,14.4,31.5,0,0
7:51 PM April 22 2015,13.3,38.9,1,0
8:51 AM April 23 2015,6.7,24.1,0,0
9:51 AM April 23 2015,8.3,22.2,0,0
10:51 AM April 23 2015,7.8,25.9,0,0
11:51 AM April 23 2015,8.9,27.8,0,0
12:51 PM April 23 2015,8.9,29.6,0,0
1:51 PM April 23 2015,8.3,27.8,0,0
2:51 PM April 23 2015,8.3,25.9,0,0
3:51 PM April 23 2015,8.9,24.1,0,0
4:51 PM April 23 2015,8.9,11.1,0,0
5:51 PM April 23 2015,8.9,24.1,0,0
6:51 PM April 23 2015,7.8,33.3,0,0
7:51 PM April 23 2015,6.1,24.1,0,0
8:51 AM April 24 2015,4.4,27.8,0,0
9:51 AM April 24 2015,6.1,27.8,0,0
10:51 AM April 24 2015,7.8,24.1,0,0
11:51 AM April 24 2015,8.3,25.9,0,0
12:51 PM April 24 2015,8.3,18.5,0,0
1:51 PM April 24 2015,10.0,27.8,0,0
2:51 PM April 24 2015,10.6,25.9,0,0
3:51 PM April 24 2015,9.4,24.1,0,0
4:51 PM April 24 2015,8.9,25.9,0,0
5:51 PM April 24 2015,8.3,22.2,0,0
6:51 PM April 24 2015,7.2,27.8,0,0
7:51 PM April 24 2015,6.1,18.5,0,0
8:51 AM April 25 2015,5.6,22.2,0,0
9:51 AM April 25 2015,7.8,14.8,0,0
10:51 AM April 25 2015,9.0,13.0,0,0
11:51 AM April 25 2015,11.7,16.7,0,0
12:51 PM April 25 2015,12.8,16.7,0,0
1:51 PM April 25 2015,13.9,14.8,0,0
2:51 PM April 25 2015,13.9,22.2,0,0
3:51 PM April 25 2015,15.6,16.7,0,0
4:51 PM April 25 2015,13.3,22.2,0,0
5:51 PM April 25 2015,13.9,20.4,0,0
6:51 PM April 25 2015,12.8,24.1,0,0
7:51 PM April 25 2015,11.7,13.0,0,0
8:51 AM April 26 2015,10.6,9.3,0,0
9:51 AM April 26 2015,11.7,5.6,0,0
10:51 AM April 26 2015,12.8,7.4,0,0
11:51 AM April 26 2015,12.8,9.3,0,0
12:51 PM April 26 2015,13.3,14.8,0,0
1:51 PM April 26 2015,12.8,16.7,0,0
2:51 PM April 26 2015,13.3,13.0,0,0
3:51 PM April 26 2015,14.4,13.0,0,0
4:51 PM April 26 2015,13.3,7.4,0,0
5:51 PM April 26 2015,13.9,5.6,0,0
6:51 PM April 26 2015,12.8,7.4,0,0
7:51 PM April 26 2015,12.2,9.3,0,0
8:51 AM April 27 2015,10.6,22.2,0,0
9:51 AM April 27 2015,12.2,14.8,0,0
10:51 AM April 27 2015,13.3,14.8,0,0
11:51 AM April 27 2015,14.4,11.1,0,0
12:51 PM April 27 2015,14.4,16.7,0,0
1:51 PM April 27 2015,13.9,24.1,1,0
2:51 PM April 27 2015,14.4,22.2,0,0
3:51 PM April 27 2015,14.4,29.6,0,0
4:51 PM April 27 2015,13.9,22.2,0,0
5:51 PM April 27 2015,13.9,27.8,0,0
6:51 PM April 27 2015,12.8,31.5,0,0
7:51 PM April 27 2015,11.7,20.4,0,0
8:11 AM April 28 2015,7.8,22.2,0,0
8:36 AM April 28 2015,8.9,31.5,0,0
8:51 AM April 28 2015,10.0,22.2,0,0
9:51 AM April 28 2015,9.4,25.9,0,0
10:51 AM April 28 2015,10.6,22.2,0,0
11:51 AM April 28 2015,11.7,29.6,0,0
12:51 PM April 28 2015,13.3,22.2,0,0
1:51 PM April 28 2015,15.0,18.5,0,0
2:51 PM April 28 2015,17.2,20.4,0,0
3:51 PM April 28 2015,17.8,27.8,0,0
4:51 PM April 28 2015,18.3,27.8,0,0
5:51 PM April 28 2015,17.8,29.6,0,0
6:51 PM April 28 2015,16.7,29.6,0,0
7:51 PM April 28 2015,15.6,20.4,0,0
8:51 AM April 29 2015,16.1,16.7,0,0
9:51 AM April 29 2015,17.2,24.1,0,0
10:51 AM April 29 2015,17.8,11.1,0,0
11:51 AM April 29 2015,17.8,7.4,0,0
12:40 PM April 29 2015,14.4,24.1,0,0
12:51 PM April 29 2015,12.8,25.9,0,0
1:51 PM April 29 2015,12.2,22.2,0,0
2:51 PM April 29 2015,12.8,18.5,0,0
3:51 PM April 29 2015,12.2,16.7,0,0
4:51 PM April 29 2015,12.8,14.8,0,0
5:51 PM April 29 2015,11.1,14.8,0,0
6:51 PM April 29 2015,10.0,11.1,0,0
7:51 PM April 29 2015,10.0,9.3,0,0
8:51 AM April 30 2015,10.0,14.8,0,0
9:51 AM April 30 2015,10.0,13.0,0,0
10:51 AM April 30 2015,10.6,13.0,0,0
11:51 AM April 30 2015,11.7,13.0,0,0
12:51 PM April 30 2015,13.3,9.3,0,0
1:51 PM April 30 2015,15.6,7.4,0,0
2:51 PM April 30 2015,15.6,16.7,0,0
3:51 PM April 30 2015,14.4,16.7,0,0
4:51 PM April 30 2015,11.7,18.5,0,0
5:51 PM April 30 2015,11.1,14.8,0,0
6:51 PM April 30 2015,10.6,13.0,0,0
7:51 PM April 30 2015,10.0,11.1,0,0
8:51 AM May 01 2015,8.9,13.0,0,0
9:51 AM May 01 2015,9.4,18.5,0,0
10:51 AM May 01 2015,10.6,22.2,0,0
11:51 AM May 01 2015,11.7,16.7,0,0
12:07 PM May 01 2015,11.7,20.4,0,0
12:51 PM May 01 2015,12.2,11.1,0,0
1:51 PM May 01 2015,12.2,14.8,0,0
